text,label
email sent at 2012-01-04T13:19:16Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 8. length_chars 21.705. number_style small,0
email sent at 2012-02-16T20:10:06Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 7.011. number_style big,0
email sent at 2012-01-04T15:36:23Z. from_internal 1. to_multiple 0. cc_count 4. attachments 2. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 2. length_chars 0.631. number_style none,1
email sent at 2012-01-04T17:49:52Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 1. length_chars 2.454. number_style small,0
email sent at 2012-01-27T09:34:45Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 9. mentions_winner no. mentions_viagra 0. mentions_password 1. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 43. length_chars 41.623. number_style small,0
email sent at 2012-01-17T17:31:57Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 0.057. number_style small,0
email sent at 2012-03-18T04:18:55Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 0. length_chars 0.809. number_style small,0
email sent at 2012-03-31T13:58:56Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 0. subject_urgent 0. message_exclaims 2. length_chars 5.229. number_style small,0
email sent at 2012-01-11T01:57:54Z. from_internal 1. to_multiple 0. cc_count 1. attachments 0. contains_image 0. contains_dollar 0. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 1. subject_exclaim 1. subject_urgent 0. message_exclaims 22. length_chars 9.277. number_style small,0
email sent at 2012-01-07T19:29:16Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 23. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 3. length_chars 17.17. number_style small,0
email sent at 2012-02-23T00:57:02Z. from_internal 1. to_multiple 0. cc_count 0. attachments 0. contains_image 0. contains_dollar 4. mentions_winner no. mentions_viagra 0. mentions_password 0. subject_reply 0. subject_exclaim 0. subject_urgent 0. message_exclaims 13. length_chars 64.401. number_style small,0
